ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (lbs),Length (in),Width (in),Height (in),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global
13,simple,VZBT4,"4"" TAB-Expiring Visitor Badges",1,0,visible,"4"" TAB-Expiring Visitor Badges (in rolls of 250 badges) for most Direct Thermal printers","4"" TAB-Expiring Visitor Badges (in rolls of 250 badges) for most Direct Thermal printers",,,taxable,,1,,,0,0,,,,,1,,,229,Visitor Badges > Visitor Badge Printer ROLLS,"4 inch, Expiring, TAB",,http://localhost/wordpress/wp-content/uploads/2022/07/VDTT4_280p.jpg,,,,,,,,,0,Style,TAB-Expiring,1,1,Size,4-Inch,1,1,Compatible Printers,Direct Thermal,1,1
14,simple,VDT-TM4,"4"" TANDEM-Expiring Direct Thermal Badges",1,1,visible,"<h1>4"" TANDEM-Expiring Visitor Badges (in rolls of 250 badges) for most Direct Thermal printers</h1>","<h1>4"" TANDEM-Expiring Visitor Badges (in rolls of 250 badges) for most Direct Thermal printers</h1>",,,taxable,,1,,,0,0,,,,,1,,,189,Visitor Badges > Visitor Badge Printer ROLLS,"4 inch, Expiring, TANDEM",,,,,,,,,,,0,Style,TANDEM-Expiring,1,1,Size,4-Inch,1,1,Compatible Printers,Direct Thermal,1,1
15,simple,bk,Tab expiring book,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,200,Visitor Badges > Visitor Badge Sign-In BOOKS,"3 inch, TAB",,,,,,,,,,,0,Style,TAB-Expiring,1,1,Size,3-Inch,1,1,,,,
16,simple,VDTT3,"3"" TAB-Expiring Visitor Badges",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,194,Visitor Badges > Visitor Badge Printer ROLLS,"3 inch, TAB",,http://localhost/wordpress/wp-content/uploads/2022/07/VDTT3_280p.jpg,,,,,,,,,0,Style,TAB-Expiring,2,2,Size,4-Inch,1,1,Compatible Printers,Direct Thermal,1,1
17,simple,VIJT4,"4"" TAB-Expiring Inkjet Badges",1,0,visible,"<h1>4"" TAB-Expiring Inkjet Badges (in rolls of 250 badges) for Epson and Primera printers</h1>","<h1>4"" TAB-Expiring Inkjet Badges (in rolls of 250 badges) for Epson and Primera printers</h1>
\n&nbsp;
\n
\nOutside diameter of rolls: 4"" (2"" core)
\n
\nBadge size: 4"" x 2.3125""
\n
\n# badges/pack: 1,000 (4 rolls of 250 badges)",,,taxable,,1,,,0,0,,,,,1,,,267,Visitor Badges > Visitor Badge Printer ROLLS > InkJet,"4 inch, TAB",,http://localhost/wordpress/wp-content/uploads/2022/07/VDTT4_280p-1.jpg,,,,,,,,,0,Style,TAB-Expiring,1,1,Size,4-Inch,1,1,Compatible Printers,Inkjet Label Printers,1,1
18,simple,VIJT3,"3"" TAB-Expiring Inkjet Badges",1,0,visible,"<h1>3"" TAB-Expiring Inkjet Badges (in rolls of 250 badges) for Epson and Primera printers</h1>","<h1>3"" TAB-Expiring Inkjet Badges (in rolls of 250 badges) for Epson and Primera printers</h1>",,,taxable,,1,,,0,0,,,,,1,,,215,Visitor Badges > Visitor Badge Printer ROLLS > InkJet,"3 inch, TAB",,http://localhost/wordpress/wp-content/uploads/2022/07/VDTT3_280p.jpg,,,,,,,,,0,Style,TAB-Expiring,1,1,Size,3-Inch,1,1,Compatible Printers,Inkjet Label Printers,1,1
19,simple,VIJF4,"4"" FULL-Expiring Inkjet Badges",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,320,Visitor Badges > Visitor Badge Printer ROLLS > InkJet,"4 inch, FULL",,,,,,,,,,,0,Style,FULL-Expiring,1,1,Size,4-Inch,1,1,Compatible Printers,Inkjet Label Printers,1,1
20,simple,VIJF3,"3"" FULL-Expiring Inkjet Badges",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,267,Visitor Badges > Visitor Badge Printer ROLLS > InkJet,"3 inch, FULL",,,,,,,,,,,0,Style,FULL-Expiring,1,1,Size,3-Inch,1,1,Compatible Printers,Inkjet Label Printers,1,1
21,simple,VZBT4-2RL,"4"" TAB-Expiring Visitor Badges (in rolls of 500 badges) for Direct Thermal printers that can accept a 4.4"" dia. roll (e.g. Zebra)",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,229,Visitor Badges > Visitor Badge Printer ROLLS,"4 inch, TAB",,,,,,,,,,,0,Style,TAB-Expiring,1,1,Size,4-Inch,1,1,Compatible Printers,Direct Thermal,1,1
22,simple,VBRT3,"3"" TAB-Expiring Direct Thermal Badges (in rolls of 250 badges) for Brother Printers",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,229,Visitor Badges > Visitor Badge Printer ROLLS,"3 inch, TAB",,,,,,,,,,,0,Style,TAB-Expiring,1,1,Size,3-Inch,1,1,Compatible Printers,Brother QL,1,1
